0.000000000000000000e+00,8.599999999999999312e-02,0.000000000000000000e+00
2.500000000000000000e+00,1.580000000000000016e-01,2.899999999999999800e-02
3.000000000000000000e+00,2.590000000000000080e-01,1.650000000000000078e-01
4.000000000000000000e+00,2.520000000000000018e-01,2.439999999999999947e-01
5.000000000000000000e+00,2.660000000000000142e-01,2.949999999999999845e-01
6.000000000000000000e+00,3.379999999999999671e-01,3.520000000000000351e-01
7.500000000000000000e+00,2.590000000000000080e-01,3.950000000000000178e-01
1.000000000000000000e+01,2.010000000000000120e-01,4.529999999999999583e-01
1.250000000000000000e+01,1.290000000000000036e-01,4.309999999999999942e-01
1.250000000000000000e+01,9.300000000000001321e-02,5.460000000000000409e-01
1.500000000000000000e+01,3.600000000000000422e-02,5.969999999999999751e-01
1.500000000000000000e+01,2.200000000000000219e-02,5.390000000000000346e-01
