time,CB,CC
3,0.7,0
4.5,17.3,2.9
5,23,17.3
5.5,24.4,20.9
6,23,25.9
6.5,33.1,29.5
7,31.6,33.8
8,20.9,45.3
9,10.1,53.2
10,4.3,58.2
12.5,0.7,57.5
15,0.7,61.1
