0.000000000000000000e+00,6.500000000000000222e-02,0.000000000000000000e+00
2.000000000000000000e+00,1.440000000000000169e-01,1.399999999999999856e-02
5.000000000000000000e+00,1.799999999999999933e-01,1.080000000000000127e-01
7.500000000000000000e+00,1.650000000000000078e-01,1.440000000000000169e-01
1.000000000000000000e+01,2.949999999999999845e-01,2.160000000000000253e-01
1.250000000000000000e+01,2.369999999999999885e-01,3.019999999999999907e-01
1.500000000000000000e+01,3.670000000000000484e-01,3.310000000000000164e-01
2.000000000000000000e+01,2.730000000000000204e-01,4.029999999999999694e-01
2.500000000000000000e+01,1.650000000000000078e-01,4.749999999999999778e-01
3.500000000000000000e+01,7.200000000000000844e-02,5.539999999999999369e-01
4.500000000000000000e+01,3.600000000000000422e-02,5.679999999999999494e-01
5.500000000000000000e+01,2.200000000000000219e-02,5.969999999999999751e-01
