time,CB,CC
5,8.6,0
7.5,15.8,2.9
8,25.9,16.5
9,25.2,24.4
10,26.6,29.5
11,33.8,35.2
12.5,25.9,39.5
15,20.1,45.3
17.5,12.9,43.1
17.5,9.3,54.6
20,3.6,59.7
20,2.2,53.9
